施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
木場公園,2024/12/4,1350023,131083,東京都,江東区,平野四丁目,03-5245-1770,https://www.tokyo-park.or.jp/park/kiba/,35.676767,139.807561,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,7,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,5,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、江東区木場四・五丁目にもございます。
小金井公園,2024/12/4,1840001,132101,東京都,小金井市,関野町一丁目,042-385-5611,https://www.tokyo-park.or.jp/park/koganei/,35.71706,139.517882,有,,有,16,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,13,,有,7,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,11,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、小金井市桜町三丁目、関野町一丁目、小平市花小金井南町三丁目、西東京市向台六丁目、武蔵野市桜堤三丁目にもございます。
駒沢オリンピック公園,2024/12/4,1540013,131121,東京都,世田谷区,駒沢公園,03-3421-6431,https://www.tokyo-park.or.jp/park/komazawa-olympic/,35.627198,139.661894,有,,有,9,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,6,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、目黒区東が丘二丁目・八雲五丁目にもございます。
小宮公園,2024/4/1,1920043,132012,東京都,八王子市,暁町二丁目,042-623-1615,https://tamaparks.com/kouen/komiya/,35.673446,139.340673,有,,有,6,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,2,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、八王子市大谷町にもございます。
桜ヶ丘公園,2024/12/4,2060021,132241,東京都,多摩市,連光寺五丁目,042-375-1240,https://www.tokyo-park.or.jp/park/sakuragaoka/,141.349451,42.562611,有,,有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、多摩市連光寺三丁目にもございます。
狭山公園,2024/4/1,1890026,132136,東京都,東村山市,多摩湖町三丁目,042-393-0154,https://sayamaparks.com/kouen/sayama/,35.763187,139.44158,有,,有,6,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
狭山・境緑道,2024/4/1,2070004,132209,東京都,東大和市,清水二丁目,042-393-0154,https://sayamaparks.com/kouen/sayama_sakai/,35.852839,139.412183,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、小平市花小金井南町一・二・三丁目、花小金井六丁目、鈴木町二丁目、天神町一・二丁目、大沼町一・三丁目、東村山市萩山町一・二・三丁目、栄町三丁目、廻田町二丁目、美住町一・二丁目、東大和市清水一丁目、西東京市向台三・四・五・六丁目、新町四・五丁目 にもございます。
猿江恩賜公園,2024/4/1,1350001,131083,東京都,江東区,毛利二丁目,03-3631-9732,https://tokyo-eastpark.com/parksearch/sarueonshi,35.69051,139.819226,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,2,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、江東区住吉二丁目にもございます。
汐入公園,2024/12/4,1160003,131181,東京都,荒川区,南千住八丁目,03-3807-5181,https://www.tokyo-park.or.jp/park/shioiri/,35.736607,139.809271,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,6,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
潮風公園,2024/4/1,1350092,131091,東京都,品川区,東八潮,03-5500-0385,https://www.tptc.co.jp/park/01_03,35.62398,139.768796,有,,有,10,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,7,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
篠崎公園,2024/12/4,1330054,131237,東京都,江戸川区,上篠崎一丁目,03-3670-4080,https://www.tokyo-park.or.jp/park/shinozaki/,35.715629,139.899176,有,,有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,6,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、江戸川区上篠崎四・八丁目、篠崎町六・七・八丁目、西篠崎一・二丁目、谷河内二丁目、南篠崎町四丁目、鹿骨町にもございます。
芝公園,2024/12/4,1050011,131032,東京都,港区,芝公園四丁目,03-3431-4359,https://www.tokyo-park.or.jp/park/siba/,35.654938,139.747984,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、港区芝公園一・二・三丁目にもございます。
石神井公園,2024/12/4,1770045,131202,東京都,練馬区,石神井台一丁目,03-3996-3950,https://www.tokyo-park.or.jp/park/shakujii/,35.738171,139.595976,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,8,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,8,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、練馬区石神井台二丁目、石神井町五丁目にもございます。
城北中央公園,2024/12/4,1790084,131202,東京都,練馬区,氷川台一丁目,03-3931-3650,https://www.tokyo-park.or.jp/park/johoku-chuo/,139.677579,35.757429,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、板橋区桜川一丁目、小茂根五丁目、練馬区羽沢三丁目にもございます。
浅間山公園,2024/4/1,1830001,132063,東京都,府中市,浅間町四丁目,042-361-6861,https://musashinoparks.com/kouen/sengenyama/,35.680157,139.500427,無,,有,3,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、府中市若松町五丁目にもございます。
善福寺川緑地,2024/12/4,1660016,131156,東京都,杉並区,成田西一丁目,03-3313-4247,https://www.tokyo-park.or.jp/park/zempukujigawa-ryokuchi/,35.690675,139.632405,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,5,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、杉並区成田東二・三・四丁目、成田西三・四丁目、荻窪一丁目にもございます。
善福寺公園,2024/12/4,1670041,131156,東京都,杉並区,善福寺三丁目,03-3396-0825,https://www.tokyo-park.or.jp/park/zenpukuji/,35.713434,139.591542,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、杉並区善福寺二丁目にもございます。
祖師谷公園,2024/12/4,1570065,131121,東京都,世田谷区,上祖師谷三丁目,03-5384-1693,https://www.tokyo-park.or.jp/park/soshigaya/,35.656911,139.599357,有,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、世田谷区上祖師谷四丁目・祖師谷六丁目・成城九丁目にもございます。
台場公園,2024/4/1,1350091,131032,東京都,港区,台場一丁目,03-5500-0385,https://www.tptc.co.jp/park/01_02,35.633594,139.772033,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
滝山公園,2024/4/1,1920002,132012,東京都,八王子市,高月町,042-623-1615,https://tamaparks.com/kouen/takiyama/,35.701454,139.330101,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、八王子市丹木町二、三丁目にもございます。
玉川上水緑道,2024/4/1,1810015,132047,東京都,三鷹市,大沢六丁目,0422-31-6457,http://musashinoparks.com/kouen/tamagawa/,35.671987,139.664898,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄には野川公園サービスセンターの住所を記載しております。そのほか、福生市、昭島市、立川市、小平市、三鷹市、武蔵野市、杉並区にもございます。
東京臨海広域防災公園,2024/12/4,1350063,131083,東京都,江東区,有明三丁目,03-3529-2180,https://www.tokyorinkai-koen.jp/,35.6804,139.769017,無,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,有,1,2,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
舎人公園,2024/12/4,1210837,131211,東京都,足立区,舎人公園,03-3857-2308,https://www.tokyo-park.or.jp/park/toneri/,35.797451,139.772165,有,,有,25,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,23,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,15,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、足立区西伊興町ほかにもございます。
戸山公園,2024/12/4,1690072,131041,東京都,新宿区,大久保三丁目,03-3200-1702,https://www.tokyo-park.or.jp/park/toyama/,35.707707,139.705066,無,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,5,,有,4,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,5,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、新宿区戸山一・二・三丁目にもございます。
中川公園,2024/4/1,1200002,131211,東京都,足立区,中川五丁目,03-3629-8164,https://tokyo-eastpark.com/parksearch/nakagawa,35.774755,139.845443,有,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
長沼公園,2024/12/4,1920907,132012,東京都,八王子市,長沼町,042-375-1240,https://www.tokyo-park.or.jp/park/naganuma/,35.638301,139.368525,有,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、八王子市下柚木・堀之内にもございます。
野川公園,2024/4/1,1810015,132047,東京都,三鷹市,大沢六丁目,0422-31-6457,https://musashinoparks.com/kouen/nogawa/,35.68334,139.525446,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,7,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、調布市野水一・二丁目、小金井市東町一丁目、三鷹市大沢二・三丁目にもございます。
野山北・六道山公園,2024/4/1,2080032,132233,東京都,武蔵村山市,三ツ木四丁目,042-531-2325,https://sayamaparks.com/kouen/noyama/,35.765884,139.379757,有,,有,15,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,9,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,5,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。
八国山緑地,2024/4/1,1890021,132136,東京都,東村山市,諏訪町三丁目,042-393-0154,https://sayamaparks.com/kouen/hachikokuyama/,35.766772,139.454934,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、東京都東村山市諏訪町2丁目、多摩湖町4丁目にもございます。
東綾瀬公園,2024/4/1,1200004,131211,東京都,足立区,東綾瀬三丁目,03-3605-0005,https://tokyo-eastpark.com/parksearch/higashiayase,35.770235,139.832565,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,5,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,9,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、足立区東綾瀬一・二丁目、 綾瀬三・五・六丁目、谷中一丁目にもございます。
東白鬚公園,2024/12/4,1310034,131075,東京都,墨田区,堤通二丁目,03-3614-4467,https://www.tokyo-park.or.jp/park/higashi-shirahige/,35.733687,139.814077,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,有,3,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
東伏見公園,2024/4/1,2020021,132292,東京都,西東京市,東伏見一丁目,042-475-1031,https://musashinoparks.com/kouen/higashifushimi/,35.728728,139.557041,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
東村山中央公園,2024/12/4,1890024,132136,東京都,東村山市,富士見町五丁目,042-392-7322,https://www.tokyo-park.or.jp/park/higashimurayama-chuo/,35.747927,139.459004,有,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,2,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、東村山市美住町一丁目にもございます。
東大和公園,2024/4/1,2070002,132209,東京都,東大和市,湖畔三丁目,042-393-0154,https://sayamaparks.com/kouen/higashiyamato/,35.756214,139.430354,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、東京都東大和市高木一丁目、狭山三丁目にもございます。
東大和南公園,2024/12/4,2070022,132209,東京都,東大和市,桜が丘二丁目,042-562-1498,https://www.tokyo-park.or.jp/park/higashiyamato/,35.734226,139.42202,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、東大和市桜が丘三丁目にもございます。
光が丘公園,2024/12/4,1790072,131202,東京都,練馬区,光が丘四丁目,03-3977-7638,https://www.tokyo-park.or.jp/park/hikarigaoka/,35.765204,139.629503,有,,有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,10,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄に記載のほかに、練馬区光が丘二丁目、旭町二丁目、板橋区赤塚新町三丁目にもございます。
日比谷公園,2024/12/4,1000012,131016,東京都,千代田区,日比谷公園,03-3501-6428,https://www.tokyo-park.or.jp/park/hibiya/,35.674439,139.755388,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,6,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
平山城址公園,2024/12/4,1920355,132012,東京都,八王子市,堀之内,042-375-1240,https://www.tokyo-park.or.jp/park/hirayama-joshi/,35.64796,139.381,無,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
府中の森公園,2024/12/4,1830001,132063,東京都,府中市,浅間町一丁目,042-364-8021,https://www.tokyo-park.or.jp/park/fuchunomori/,35.676369,139.491872,有,,有,3,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,4,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、府中市緑町二丁目・天神町二丁目にもございます。
