施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
東京ソラマチ,2022/1/28,1310045,131075,東京都,墨田区,押上1-1-2,0570-55-0102,https://www.tokyo-solamachi.jp/,35.710321,139.811631,有,1000,有,12,有,4,24,183,108,有,有,有,3,20,188,99,,,,2,40,233,119,,,,2,13,145,99,,,,2,24,183,118,,,,ソラマチひろば口,有,無,260,無,,有,有,有,有,有,有,19,"1F,2F,3F,4F,5F,6F,7F,8F,9F,30F,31F",有,19,"1F,2F,3F,4F,5F,6F,7F,8F,9F,30F,31F",有,無,無,無,,無,,有,1,有,2,無,,有,2,無,,有,-,無,,有,122,有,13,無,,無,,無,,有,6,無,,有,挨拶程度 全日可,有,全日可,無,無,無,無,無,無,有,<p>・エレベーター6種類目：2台 定員数36人 奥行248cm 入口幅108cm 音声案内有 点字表示有 車いすパネル有</p> <p>・エレベーター7種類目：2台 定員数20人 奥行188cm 入口幅99cm 音声案内有 点字表示無 車いすパネル無</p> <p>・エレベーター8種類目：1台 定員数15人 奥行158cm 入口幅108cm 音声案内有 点字表示有 車いすパネル有</p> <p>・エレベーター9種類目：1台 定員数15人 奥行153cm 入口幅99cm 音声案内有 点字表示有 車いすパネル有</p> <p>・エレベーター10種類目：1台 定員数40人 奥行233cm 入口幅119cm 音声案内有 点字表示有 車いすパネル有</p> <p>・エレベーター11種類目：1台 定員数26人 奥行252cm 入口幅119cm 音声案内有 点字表示有 車いすパネル有</p>
モリパーク アウトドアヴィレッジ,2024/11/11,1960005,132071,東京都,昭島市,代官山2-6-1,042-541-0700,https://outdoorvillage.tokyo/,35.71729861,139.3617994,有,118,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,180,無,,有,有,有,無,無,有,2,1F,有,1,1F,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,有,
ヨドバシカメラ新宿西口本店,2020/2/22,1600023,131041,東京都,新宿区,西新宿1-11-1,03-3346-1010,https://www.yodobashi.com/,35.689815,139.697891,有,30,無,,有,1,,240,145,無,無,無,2,9,110,75,,,,1,20,188,125,,,,2,15,158,85,,,,,,,,,,,安田口,有,有,143,無,,有,有,有,無,無,有,1,B1,無,,,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
タワーレコード 渋谷店,2020/2/28,1500041,131130,東京都,渋谷区,神南1-22-14,03-3496-3661,http://tower.jp/,35.66192,139.701071,無,,無,,有,1,11,168,88,有,無,有,1,11,168,88,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,185,無,,有,無,無,無,無,無,,,無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内（10:00～23:00）,無,無,無,無,無,無,無,
ヨドバシカメラ マルチメディアAkiba,2020/3/2,1010028,131016,東京都,千代田区,神田花岡町1-1,03-3255-5071,http://www.yodobashi-akiba.com/,35.698865,139.774745,有,510,有,9,有,4,30,220,120,有,有,有,2,28,210,140,,,,,,,,,,,,,,,,,,,,,,,,,JR中央口（第2エントランス）,無,無,140,無,,無,無,無,無,無,有,7,"3F,4F,5F,6F,7F,8F,9F",有,1,5F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,21,有,2,無,,無,,無,,有,7,無,,無,,有,営業時間内（インフォメーションにて）,無,無,無,無,無,無,有,
アトレ秋葉原,2021/1/28,1010021,131016,東京都,千代田区,外神田1-17-6,03-5289-3800,https://www.atre.co.jp/store/akihabara/,35.69844,139.772173,有,33,有,2,有,2,15,154,90,有,有,有,2,15,156,90,,,,,,,,,,,,,,,,,,,,,,,,,アトレ秋葉原１　メインエントランス,有,無,172,無,,有,無,無,無,有,有,3,"1F,2F",有,3,"1F,2F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,1Fのみ,有,4,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,・駐車場：提携駐車場のご用意がございます。・エレベーター：本館に2台、アトレ2に2台ございます。
日本橋高島屋Ｓ．Ｃ．新館,2022/1/23,1030027,131024,東京都,中央区,日本橋2-5-1,03-3211-4111,https://www.takashimaya.co.jp/nihombashi/departmentstore/,35.681344,139.773802,有,292,有,1,有,4,20,168,100,有,有,有,2,15,159,87,,,,,,,,,,,,,,,,,,,,,,,,,正面玄関,有,無,220,無,,有,有,有,有,無,有,9,"B4F,B1F,1F,2F,3F,4F,5F,6F,7F",有,9,"B4F,B1F,1F,2F,3F,4F,5F,6F,7F",有,無,無,無,,無,,無,,有,1,無,,無,,無,,有,-,無,,有,20,有,4,無,,無,,無,,有,12,無,,無,,有,10:30～20:00,有,無,無,無,無,無,有,
パルコヤ上野,2020/3/3,1100005,131067,東京都,台東区,上野3-24-6,,https://parcoya-ueno.parco.jp/,35.706843,139.773227,無,,無,,有,3,24,215,100,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR駅側エントランス,有,無,218,無,,無,無,無,無,無,有,2,"3F,6F",有,2,"3F,6F",有,無,無,無,,無,,無,,無,,無,,無,,無,,有,-,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,無,無,無,無,無,有,
池袋パルコ 本館,2020/3/10,1710022,131164,東京都,豊島区,南池袋1-28-2,03-5391-8000,https://ikebukuro.parco.jp/,35.730954,139.712462,無,,無,,有,2,27,194,108,有,有,有,2,27,194,108,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,無,無,162,無,,有,無,無,無,無,有,2,"B2F,7F",有,2,"B2F,7F",有,無,無,無,,無,,無,,有,△：INF(iPadアプリ),無,,無,,無,,有,23,有,6,有,6,有,2,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
アトレ大井町,2020/3/4,1400014,131091,東京都,品川区,大井1-2-1,03-5709-7777,https://www.atre.co.jp/store/oimachi,35.606232,139.734844,有,203,有,3,有,2,15,150,94,無,有,有,1,15,150,94,,,,1,17,158,98,,,,,,,,,,,,,,,,,,,有,無,110,無,,無,無,無,無,無,有,2,"2F,6F",有,2,"2F,6F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,有,1,無,,無,,無,,有,-,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,・駐車場：提携駐車場のご用意がございます。・エレベーター：本館に4台ございます。
吉祥寺パルコ,2020/3/6,1800004,132039,東京都,武蔵野市,吉祥寺本町1-5-1,0422-21-8111,https://kichijoji.parco.jp/,35.703702,139.577959,無,,無,,有,1,24,182,105,有,有,有,1,24,182,105,,,,1,24,182,105,,,,,,,,,,,,,,,,,,1階正面入口,有,無,175,無,,有,無,無,無,無,有,3,"B2F,5F,7F",有,1,B2F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,10,有,1,無,,無,,無,,有,9,無,,無,,有,10:00～21:00（インフォメーションにて）,無,無,無,無,無,無,有,
アトレ吉祥寺,2020/2/28,1800003,132039,東京都,武蔵野市,吉祥寺南町1-1-24,0422-22-1401,https://www.atre.co.jp/store/kichijoji,35.703135,139.579232,有,146,有,1,有,1,13,207,90,有,有,有,1,13,138,87,,,,,,,,,,,,,,,,,,,,,,,,,本館正面口,有,無,172,無,,有,有,無,有,無,有,2,"B1F,1F",有,1,1F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,3,有,1,無,,無,,無,,有,-,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,・駐車場：提携駐車場のご用意がございます。・エレベーター：本館に2台ございます。
アトレヴィ三鷹,2020/2/28,1810013,132047,東京都,三鷹市,下連雀3-46-4,0422-76-6060,https://www.atre.co.jp/store/mitaka/,35.70254,139.560888,無,,無,,有,1,11,142,85,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,160,無,,無,無,無,無,無,有,1,1F,無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,無,
アトレ大森,2021/1/28,1430016,131113,東京都,大田区,大森北1-6-16,03-3763-3351,https://www.atre.co.jp/store/omori/,35.58837,139.728236,有,160,有,2,有,,,,,有,有,有,2,20,164,108,,,,2,11,142,81,,,,1,6,121,80,,,,,,,,,,,1階正面入口,有,無,112,無,,有,無,無,無,無,有,2,3F,有,2,3F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,5,有,1,無,,無,,無,,有,5,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,・駐車場：提携駐車場のご用意がございます。・エレベーター：本館に5台、アトレ2に2台、駐車場に1台ございます。
えこ・あぐりまーと,2020/2/21,1001623,134015,東京都,八丈島八丈町,中之郷3201-3,04996-7-1808,-,33.07345,139.8165611,有,6,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,160,無,3,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
六本木ヒルズ レジデンス,2022/2/4,1060032,131032,東京都,港区,六本木6-12,,https://www.roppongihills.com/,35.658901,139.729962,有,221,有,3,有,1,11,140,88,有,無,有,1,11,140,88,,,,1,11,140,86,,,,1,11,142,88,,,,1,11,150,88,,,,,無,有,170,無,,有,有,有,有,無,有,5,"1F,2F,3F",有,5,"1F,2F,3F",無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,-,無,,無,,無,,無,無,無,無,無,無,無,
ハリウッドビューティープラザ,2022/2/4,1060032,131032,東京都,港区,六本木6-4-1,,https://www.roppongihills.com/,35.661333,139.730149,無,,無,,有,6,20,177,98,有,有,有,1,21,240,90,,,,,,,,,,,,,,,,,,,,,,,,,1F環三側出入口,有,有,150,無,,有,有,有,有,無,有,4,"B2,B1,1F,2F",無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,-,無,,無,,無,,無,,無,,無,,無,,有,10:00～21:00,無,無,無,無,無,無,有,
けやき坂コンプレックス,2022/2/4,1060032,131032,東京都,港区,六本木6-10-2,,https://www.roppongihills.com/,35.659554,139.729405,有,214,無,,有,2,15,155,98,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,メインエントランス,有,有,160,無,,有,無,無,無,無,有,7,"B2,B1,1F,3F,5F",有,7,"B2,B1,1F,3F,5F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,16,無,,無,,無,,無,無,無,無,無,無,有,
